#   E  nblk  nmax |   t_diag |     eps_ladder      eps_kam01
    0     1     1 |    0.000 |       0.000E+00       0.000E+00
    1     1     2 |    0.000 |       0.000E+00       2.220E-16
    2     3     3 |    0.000 |       2.220E-16       3.553E-15
    3     3     6 |    0.000 |       4.441E-16       3.109E-15
    4     5     9 |    0.000 |       1.332E-15       3.442E-15
    5     5    12 |    0.000 |       1.332E-15       3.997E-15
    6     7    18 |    0.000 |       2.665E-15       8.882E-15
    7     7    24 |    0.000 |       2.887E-15       1.266E-14
    8     9    30 |    0.000 |       1.954E-14       2.598E-14
    9     9    40 |    0.000 |       4.441E-14       2.265E-14
   10    11    50 |    0.000 |       1.346E-13       3.775E-14
   11    11    60 |    0.000 |       1.281E-13       4.774E-14
   12    13    75 |    0.001 |       6.861E-14       8.349E-14
   13    13    90 |    0.001 |       2.547E-13       8.638E-14
   14    15   105 |    0.001 |       1.223E-13       2.482E-13
   15    15   126 |    0.002 |       5.584E-13       1.829E-13
   16    17   147 |    0.002 |       2.811E-13       4.450E-13
   17    17   168 |    0.003 |       5.163E-13       5.659E-13
   18    19   196 |    0.005 |       3.231E-12       7.865E-13
   19    19   224 |    0.006 |       5.989E-13       2.311E-12
   20    21   252 |    0.008 |       1.440E-12       1.646E-12
   21    21   288 |    0.011 |       5.999E-12       4.000E-12
   22    23   324 |    0.014 |       2.944E-12       3.127E-12
   23    23   360 |    0.018 |       2.985E-11       7.036E-12
   24    25   405 |    0.024 |       5.827E-12       5.883E-12
   25    25   450 |    0.032 |       3.789E-11       1.480E-11
   26    27   495 |    0.041 |       1.201E-10       1.635E-11
   27    27   550 |    0.052 |       3.088E-10       2.670E-11
   28    29   605 |    0.067 |       6.565E-11       3.793E-11
   29    29   660 |    0.083 |       8.312E-10       4.896E-11
   30    31   726 |    0.104 |       6.318E-10       8.940E-11
